_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
228131,Avería,Bilbao,Seguridad vial,BIZKAIA,A-8,1,2024-01-24T18:36:17.000Z,2024-01-24_BIZKAIA_Seguridad vial,1
228130,Avería,Santurtzi,Seguridad vial,BIZKAIA,N-644,1,2024-01-24T18:43:15.000Z,2024-01-24_BIZKAIA_Seguridad vial,1
228129,Alcance,Legutiano,Accidente,ARABA,N-240,1,2024-01-24T16:03:41.000Z,2024-01-24_ARABA_Accidente,0
228128,Alcance,Legutiano,Accidente,ARABA,N-240,1,2024-01-24T16:03:41.000Z,2024-01-24_ARABA_Accidente,0
228127,Alcance,Bilbao,Accidente,BIZKAIA,N-634,1,2024-01-24T16:18:19.000Z,2024-01-24_BIZKAIA_Accidente,0
228126,Alcance,Vitoria-Gasteiz,Accidente,ARABA,A-132,1,2024-01-24T16:23:01.000Z,2024-01-24_ARABA_Accidente,0
228529,Obras,Getxo,Obras,BIZKAIA,BI-637,1,2024-01-25T23:58:10.000Z,2024-01-25_BIZKAIA_Obras,1
228125,Salida,Urduliz,Accidente,BIZKAIA,BI-2704,1,2024-01-24T16:27:14.000Z,2024-01-24_BIZKAIA_Accidente,0
228527,Obras,Bilbao,Obras,BIZKAIA,BI-636,1,2024-01-25T21:53:13.000Z,2024-01-25_BIZKAIA_Obras,1
228526,Obras,Zalla,Obras,BIZKAIA,BI-636,1,2024-01-25T22:02:59.000Z,2024-01-25_BIZKAIA_Obras,1
228525,Obras,Zalla,Obras,BIZKAIA,BI-636,1,2024-01-25T22:03:17.000Z,2024-01-25_BIZKAIA_Obras,1
228524,Salida,Gatika,Accidente,BIZKAIA,BI-634,1,2024-01-25T22:04:46.000Z,2024-01-25_BIZKAIA_Accidente,0
228523,Otros,Alonsotegi,Otras incidencias,BIZKAIA,BI-636,1,2024-01-25T22:49:14.000Z,2024-01-25_BIZKAIA_Otras incidencias,0
228522,Obras,Andoain,Obras,GIPUZKOA,N-1,1,2024-01-25T22:56:57.000Z,2024-01-25_GIPUZKOA_Obras,0
228521,Obras,road,Obras,GIPUZKOA,AP-1,1,2024-01-25T21:16:59.000Z,2024-01-25_GIPUZKOA_Obras,0
228520,Alcance,Vitoria-Gasteiz,Accidente,ARABA,A-3010,1,2024-01-25T21:46:58.000Z,2024-01-25_ARABA_Accidente,0
228519,Caída de objetos,Mutriku,Seguridad vial,GIPUZKOA,GI-3230,1,2024-01-25T20:22:10.000Z,2024-01-25_GIPUZKOA_Seguridad vial,0
228518,Avería,Erandio,Seguridad vial,BIZKAIA,BI-637,1,2024-01-25T19:49:28.000Z,2024-01-25_BIZKAIA_Seguridad vial,0
228516,Alcance,Valle de Trápaga-Trapagaran,Accidente,BIZKAIA,BI-3746,1,2024-01-25T18:15:49.000Z,2024-01-25_BIZKAIA_Accidente,0
228517,Obras,Bilbao,Obras,BIZKAIA,BI-636,1,2024-01-25T18:13:17.000Z,2024-01-25_BIZKAIA_Obras,1
228515,Alcance,Erandio,Accidente,BIZKAIA,BI-604,1,2024-01-25T17:21:19.000Z,2024-01-25_BIZKAIA_Accidente,0
228513,Obras,Idiazabal,Obras,GIPUZKOA,N-1,1,2024-01-25T15:18:33.000Z,2024-01-25_GIPUZKOA_Obras,0
228514,Avería,Eibar,Seguridad vial,GIPUZKOA,N-634,1,2024-01-25T16:12:17.000Z,2024-01-25_GIPUZKOA_Seguridad vial,0
228511,Obras,Orozko,Obras,BIZKAIA,BI-2522,1,2024-01-25T15:19:53.000Z,2024-01-25_BIZKAIA_Obras,1
228512,Obras,Bilbao,Obras,BIZKAIA,BI-636,1,2024-01-25T15:19:00.000Z,2024-01-25_BIZKAIA_Obras,1
228510,Avería,Barakaldo,Seguridad vial,BIZKAIA,A-8,1,2024-01-25T15:24:28.000Z,2024-01-25_BIZKAIA_Seguridad vial,0
228509,Avería,Bilbao,Seguridad vial,BIZKAIA,A-8,1,2024-01-25T13:53:59.000Z,2024-01-25_BIZKAIA_Seguridad vial,0
228691,Obras,Tolosa,Obras,GIPUZKOA,N-1,1,2024-01-26T23:00:07.000Z,2024-01-26_GIPUZKOA_Obras,0
228690,Avería,Getaria,Seguridad vial,GIPUZKOA,N-634,1,2024-01-26T23:05:25.000Z,2024-01-26_GIPUZKOA_Seguridad vial,0
228689,Obras,Llodio,Obras,ARABA,A-625,1,2024-01-26T23:40:27.000Z,2024-01-26_ARABA_Obras,0
228687,Avería,Gautegiz Arteaga,Seguridad vial,BIZKAIA,BI-3223,1,2024-01-26T22:44:42.000Z,2024-01-26_BIZKAIA_Seguridad vial,0
228686,Obras,Legorreta,Obras,GIPUZKOA,N-1,1,2024-01-26T22:57:12.000Z,2024-01-26_GIPUZKOA_Obras,0
228685,Obras,Tolosa,Obras,GIPUZKOA,N-1,1,2024-01-26T20:52:16.000Z,2024-01-26_GIPUZKOA_Obras,0
228684,Unknown cause,Abanto y Ciérvana-Abanto Zierbena,Otras incidencias,BIZKAIA,N-634,1,2024-01-26T21:28:00.000Z,2024-01-26_BIZKAIA_Otras incidencias,0
228683,Atropello,Bilbao,Accidente,BIZKAIA,N-634,1,2024-01-26T20:18:37.000Z,2024-01-26_BIZKAIA_Accidente,0
228682,Avería,Mendaro,Seguridad vial,GIPUZKOA,N-634,1,2024-01-26T19:02:54.000Z,2024-01-26_GIPUZKOA_Seguridad vial,0
228681,Obras,Bilbao,Obras,BIZKAIA,BI-636,1,2024-01-26T17:50:34.000Z,2024-01-26_BIZKAIA_Obras,0
228680,Obras,Güeñes,Obras,BIZKAIA,BI-636,1,2024-01-26T17:51:36.000Z,2024-01-26_BIZKAIA_Obras,0
228679,Avería,Llodio,Seguridad vial,ARABA,A-2522,1,2024-01-26T18:00:20.000Z,2024-01-26_ARABA_Seguridad vial,0
228678,Otros,Andoain,Otras incidencias,GIPUZKOA,N-1,1,2024-01-26T18:39:01.000Z,2024-01-26_GIPUZKOA_Otras incidencias,0
228677,Unknown cause,Vitoria-Gasteiz,Otras incidencias,ARABA,N-104,1,2024-01-26T17:22:52.000Z,2024-01-26_ARABA_Otras incidencias,0
228676,Avería,Orozko,Seguridad vial,BIZKAIA,AP-68,1,2024-01-26T16:52:11.000Z,2024-01-26_BIZKAIA_Seguridad vial,0
228675,Salida,Portugalete,Accidente,BIZKAIA,BI-3749,1,2024-01-26T15:02:02.000Z,2024-01-26_BIZKAIA_Accidente,0
228674,Avería,Zuia,Seguridad vial,ARABA,AP-68,1,2024-01-26T15:16:48.000Z,2024-01-26_ARABA_Seguridad vial,0
228673,Otros,Zeanuri,Otras incidencias,BIZKAIA,BI-4501,1,2024-01-26T14:22:55.000Z,2024-01-26_BIZKAIA_Otras incidencias,0
228672,Otros,Erandio,Otras incidencias,BIZKAIA,BI-637,1,2024-01-26T14:36:23.000Z,2024-01-26_BIZKAIA_Otras incidencias,0
228671,Avería,Laguardia,Seguridad vial,ARABA,A-124,1,2024-01-26T13:31:05.000Z,2024-01-26_ARABA_Seguridad vial,0
229030,Avería,Barakaldo,Seguridad vial,BIZKAIA,A-8,1,2024-01-27T21:03:53.000Z,2024-01-27_BIZKAIA_Seguridad vial,0
229029,Desprendimiento,Zestoa,Seguridad vial,GIPUZKOA,GI-3760,1,2024-01-27T19:51:51.000Z,2024-01-27_GIPUZKOA_Seguridad vial,0
229028,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-01-27T18:36:33.000Z,2024-01-27_ARABA_Vialidad invernal tramos,2
229027,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-27T18:36:33.000Z,2024-01-27_GIPUZKOA_Vialidad invernal tramos,1
